"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0,0,-0.687866082603254,0,0,7.66419183440453e-05,0,0,-0.000200500625782228,1,1,NA,0,0,0.47323629359199
"h4",0,0,-0.291562953692115,0,0,7.43936383825647e-05,0,0,2e-04,1,1,0,0,0,0.0850832564956195
"g1",0,0,-0.647413141426784,0,0,7.74646015225799e-05,0,0,-0.000285607008760951,1,1,NA,0,0,0.419221143341677
"g4",0,0,-0.248614267834793,0,0,5.70446082038638e-05,0,0,1e-04,1,1,0,0,0,0.0618660273842303
"c1",0.0808234042553191,-0.000710137672090113,-0.655268335419274,0.000111167784887751,0.00191346898231185,0.000227983194092867,NA,0.00248948685857322,-0.000429662077596996,NA,NA,NA,0.00664345132665832,0.00191157844806008,0.429604289261577
"c2",0.00766232790988736,0.00766232790988736,-0.748752440550688,0.00229245300259409,0.00229245300259409,7.65063818808598e-05,NA,NA,-1e-04,NA,NA,NA,0.00234829511889862,0.00234829511889862,0.560706627859825
"c3",0.0326608260325407,0.0326608260325407,-0.694777221526909,0.00152586371410378,0.00152586371410378,0.000213727525603747,NA,NA,-0.000345682102628285,NA,NA,NA,0.00259068355444305,0.00259068355444305,0.482928847584481
"c4",0.000175969962453066,0.000175719649561952,-0.720095869837297,0.0012568347852422,0.00125684740471329,8.07050330456931e-05,NA,0.00156921151439299,-1e-04,NA,NA,NA,0.00125529274092616,0.00125530525657071,0.518618665782228
"b1",-0.0448807259073842,0.000523279098873592,-0.121844180225282,0.0112782287759135,0.000227640259409475,0.000148171266213092,NA,0.000243053817271589,0.000204755944931164,NA,NA,0,0.0132783929036295,0.000227629173967459,0.0149939900750939
"b2",0.000523279098873592,0.000523279098873592,-0.101247559449312,0.000227640259409475,0.000227640259409475,7.65063818808598e-05,NA,NA,1e-04,NA,NA,0,0.000227629173967459,0.000227629173967459,0.0103274789236546
"b3",-0.0281839799749687,-0.0281839799749687,-0.1552225281602,0.0115547256828868,0.0115547256828868,0.000213728263775835,NA,NA,0.000345682102628285,NA,NA,0,0.0123346009261577,0.0123346009261577,0.0243074940175219
"b4",-0.000252690863579474,-0.000252690863579474,-0.0783362953692115,8.42316688153425e-05,8.42316688153425e-05,5.04989065592642e-05,NA,0.000100625782227785,9.97496871088861e-05,NA,NA,0,8.41901001251564e-05,8.41901001251564e-05,0.00618701087609512
"r1",-0.000210888610763454,-0.000210888610763454,0.558905506883605,9.10011720163989e-05,9.10011720163989e-05,0.679744582801716,1e-04,0,-10732178157643.3,0.947434292866083,0.947434292866083,1,9.09317521902378e-05,9.09317521902378e-05,0.991269204267835
"r2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
